city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_67,Male,Has relevent experience,Part time course,Graduate,STEM,6,50-99,Pvt Ltd,1,90,0.0
city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0.0
city_41,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1-9,Pvt Ltd,1,15,0.0
city_100,Male,Has relevent experience,no_enrollment,Masters,Humanities,21,100-500,Pvt Ltd,5,48,0.0
city_11,Male,No relevent experience,Full time course,High School,STEM,3,50-99,Pvt Ltd,1,98,0.0
city_93,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0
city_67,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000-11000,Pvt Ltd,4,13,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,5,47,0.0
city_16,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0.0
city_90,Male,No relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,0,228,1.0
city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,4,22,0.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,0,50-99,Pvt Ltd,0,18,1.0
city_13,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10-49,Pvt Ltd,1,29,0.0
city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,46,0.0
city_11,Male,No relevent experience,Full time course,Graduate,STEM,0,50-99,Pvt Ltd,0,12,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0.0
city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0
city_103,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0.0
city_67,Male,No relevent experience,Full time course,Graduate,STEM,9,10000-11000,Pvt Ltd,3,14,0.0
city_103,Female,Has relevent experience,no_enrollment,Masters,STEM,2,1-9,Early Stage Startup,1,4,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,5,12,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,2,108,0.0
city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,1,136,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10-49,Pvt Ltd,1,27,0.0
city_20,Male,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0.0
city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10-49,Early Stage Startup,1,86,0.0
city_57,Female,No relevent experience,Part time course,Graduate,STEM,0,10-49,Pvt Ltd,2,83,0.0
city_103,Male,No relevent experience,Full time course,High School,STEM,4,50-99,Pvt Ltd,3,75,0.0
city_152,Male,No relevent experience,Full time course,Masters,STEM,11,50-99,Public Sector,2,42,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,332,0.0
city_61,Male,No relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,140,0.0
city_16,Male,No relevent experience,no_enrollment,High School,STEM,3,50-99,Pvt Ltd,0,182,0.0
city_103,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0
city_19,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10-49,Pvt Ltd,2,172,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0.0
city_65,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0.0
city_160,Male,No relevent experience,Full time course,High School,STEM,2,100-500,Pvt Ltd,1,142,0.0
city_74,Male,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0.0
city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0
city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10-49,Pvt Ltd,2,27,1.0
city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0
city_173,Male,No relevent experience,no_enrollment,Masters,STEM,21,50-99,Pvt Ltd,1,150,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,5,20,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,1,140,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0.0
city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,2,160,0.0
city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,1-9,Pvt Ltd,2,2,1.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,1000-4999,Pvt Ltd,5,28,0.0
city_73,Male,Has relevent experience,no_enrollment,Graduate,Other,21,50-99,Pvt Ltd,4,46,0.0
city_67,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0
city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1-9,Pvt Ltd,1,36,0.0
city_98,Male,No relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,160,1.0
city_21,Male,Has relevent experience,Full time course,Graduate,STEM,2,10-49,NGO,2,101,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Pvt Ltd,1,46,0.0
city_97,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,1000-4999,Pvt Ltd,5,19,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0
city_90,Male,Has relevent experience,Full time course,Graduate,STEM,7,1-9,NGO,1,90,0.0
city_50,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1-9,Pvt Ltd,4,59,0.0
city_160,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0.0
city_21,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,5,74,0.0
city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,21,100-500,Pvt Ltd,2,20,1.0
city_173,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0.0
city_138,Male,Has relevent experience,Full time course,Masters,STEM,7,50-99,Pvt Ltd,1,45,0.0
city_82,Male,Has relevent experience,Full time course,Graduate,STEM,11,10-49,Pvt Ltd,2,109,0.0
city_67,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,100-500,NGO,5,17,0.0
city_103,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1.0
city_36,Male,No relevent experience,no_enrollment,Phd,STEM,21,1000-4999,Public Sector,5,4,0.0
city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,5,7,0.0
city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,21,100-500,Pvt Ltd,3,164,0.0
city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,4,290,0.0
city_102,Male,No relevent experience,no_enrollment,High School,STEM,2,1-9,NGO,0,145,0.0
city_103,Male,No relevent experience,no_enrollment,Phd,STEM,21,50-99,Pvt Ltd,1,70,0.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,24,0.0
city_103,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000-11000,Pvt Ltd,1,133,1.0
city_11,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,20,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1-9,Funded Startup,1,76,0.0
city_90,Female,No relevent experience,Full time course,Masters,STEM,5,50-99,Pvt Ltd,4,21,1.0
city_21,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0.0
city_160,Male,No relevent experience,no_enrollment,Graduate,STEM,9,1-9,Pvt Ltd,2,15,0.0
city_57,Male,No relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,5,156,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,5000-9999,Pvt Ltd,5,15,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,21,50-99,Pvt Ltd,0,120,0.0
city_157,Male,Has relevent experience,no_enrollment,Graduate,No Major,14,10000-11000,Pvt Ltd,5,47,0.0
city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,2,100,1.0
city_67,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,0,102,0.0
city_103,Male,No relevent experience,no_enrollment,High School,STEM,4,50-99,Pvt Ltd,0,52,0.0
city_114,Male,Has relevent experience,no_enrollment,High School,STEM,9,10-49,Pvt Ltd,4,39,0.0
city_103,Male,Has relevent experience,Full time course,High School,STEM,4,50-99,Pvt Ltd,1,112,1.0
city_103,Male,No relevent experience,no_enrollment,Phd,STEM,21,50-99,Pvt Ltd,5,14,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,4,0.0
city_16,Male,Has relevent experience,no_enrollment,Masters,Arts,21,1000-4999,NGO,5,55,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000-11000,Pvt Ltd,4,49,1.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,5,72,0.0
city_89,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1.0
city_114,Male,No relevent experience,no_enrollment,High School,STEM,6,50-99,Pvt Ltd,0,28,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000-11000,Pvt Ltd,1,6,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0.0
city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,0,326,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,21,100-500,Pvt Ltd,2,33,0.0
city_102,Male,No relevent experience,no_enrollment,Masters,STEM,6,10000-11000,Pvt Ltd,5,40,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Pvt Ltd,1,198,1.0
city_103,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000-11000,Pvt Ltd,5,55,0.0
city_150,Male,No relevent experience,no_enrollment,Graduate,STEM,21,500-999,Pvt Ltd,5,32,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,21,100-500,Pvt Ltd,5,11,0.0
city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,1-9,Pvt Ltd,1,41,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,21,10000-11000,Public Sector,5,87,1.0
city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0.0
city_70,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,5,33,0.0
city_90,Male,Has relevent experience,Part time course,Masters,STEM,5,1-9,Early Stage Startup,1,15,0.0
city_16,Male,No relevent experience,Full time course,High School,STEM,3,50-99,Pvt Ltd,1,8,0.0
city_173,Female,Has relevent experience,Part time course,High School,STEM,2,100-500,NGO,1,22,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,21,5000-9999,Pvt Ltd,4,13,0.0
city_98,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,1-9,Public Sector,1,246,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10-49,Pvt Ltd,1,22,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,21,1-9,Funded Startup,1,81,0.0
city_175,Male,Has relevent experience,Full time course,Graduate,STEM,4,10-49,Funded Startup,1,11,0.0
city_94,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,Pvt Ltd,1,24,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,100-500,Funded Startup,1,50,0.0
city_104,Male,No relevent experience,Full time course,High School,STEM,6,50-99,Pvt Ltd,0,15,0.0
city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,21,10-49,Pvt Ltd,5,31,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,21,50-99,Pvt Ltd,0,84,0.0
city_136,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000-11000,Pvt Ltd,1,42,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10-49,Pvt Ltd,5,105,1.0
city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,5,72,0.0
city_115,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10-49,Pvt Ltd,5,42,1.0
city_94,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000-11000,Pvt Ltd,1,60,0.0
city_21,Male,No relevent experience,Full time course,Masters,STEM,2,50-99,Pvt Ltd,0,8,0.0
city_16,Male,No relevent experience,Full time course,Masters,STEM,13,50-99,Pvt Ltd,3,17,1.0
city_83,Male,No relevent experience,no_enrollment,High School,STEM,1,50-99,Pvt Ltd,1,33,0.0
city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,0,38,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,1-9,Early Stage Startup,2,178,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0.0
city_36,Male,Has relevent experience,no_enrollment,High School,STEM,21,50-99,Pvt Ltd,0,87,0.0
city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,0,84,0.0
city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,100-500,Early Stage Startup,2,32,0.0
city_100,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,1.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0.0
city_59,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10-49,Pvt Ltd,1,12,0.0
city_21,Male,Has relevent experience,Full time course,Graduate,STEM,5,10000-11000,Pvt Ltd,1,50,0.0
city_165,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55,1.0
city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,7,1.0
city_103,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0.0
city_160,Male,Has relevent experience,Full time course,Graduate,Business Degree,21,50-99,Pvt Ltd,5,90,1.0
city_103,Male,Has relevent experience,no_enrollment,Masters,Other,21,100-500,Pvt Ltd,5,8,0.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,0,102,0.0
city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,0,10-49,Pvt Ltd,1,202,1.0
city_145,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,22,0.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,0,42,0.0
city_160,Male,No relevent experience,no_enrollment,Primary School,STEM,4,50-99,Pvt Ltd,0,50,0.0
city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,0.0
city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,21,10000-11000,Pvt Ltd,1,7,0.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,0,218,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,10000-11000,Pvt Ltd,5,62,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0.0
city_28,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,5,11,0.0
city_114,Male,No relevent experience,Part time course,Phd,STEM,21,50-99,Pvt Ltd,5,10,0.0
city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0.0
city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36,0.0
city_102,Male,No relevent experience,no_enrollment,Masters,STEM,6,10-49,Pvt Ltd,1,17,0.0
city_16,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,0,80,1.0
city_160,Male,Has relevent experience,Part time course,Graduate,STEM,21,50-99,Public Sector,5,108,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,45,0.0
city_103,Male,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,0,77,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,8,0.0
city_173,Male,No relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,28,0.0
city_142,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,5,37,0.0
city_16,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,2,108,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162,0.0
city_73,Male,Has relevent experience,Full time course,High School,STEM,9,50-99,Pvt Ltd,5,41,0.0
city_165,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,4,0.0
city_71,Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,41,0.0
city_165,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000-11000,Pvt Ltd,2,12,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,1,190,0.0
city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,5,29,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,1,11,0.0
city_103,Male,No relevent experience,Full time course,High School,STEM,3,10000-11000,Pvt Ltd,1,30,0.0
city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,Pvt Ltd,5,39,0.0
city_102,Male,Has relevent experience,Full time course,High School,STEM,9,50-99,Pvt Ltd,1,16,0.0
city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,5,5,0.0
city_26,Male,No relevent experience,Full time course,High School,STEM,8,50-99,Pvt Ltd,0,39,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,5,29,0.0
city_21,Male,Has relevent experience,Full time course,Masters,STEM,4,50-99,NGO,2,210,0.0
city_103,Other,No relevent experience,Part time course,High School,STEM,6,50-99,Funded Startup,1,54,0.0
city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,44,0.0
city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,5,47,0.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,1000-4999,NGO,5,74,0.0
city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10-49,Pvt Ltd,1,8,1.0
city_21,Male,No relevent experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,0,20,1.0
city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,162,0.0
city_36,Male,No relevent experience,no_enrollment,Graduate,Business Degree,2,50-99,Pvt Ltd,1,110,0.0
city_46,Other,Has relevent experience,Part time course,High School,STEM,3,10-49,Pvt Ltd,1,262,0.0
city_138,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,1,6,0.0
city_64,Male,Has relevent experience,Part time course,Graduate,STEM,9,10-49,Pvt Ltd,1,19,1.0
city_64,Other,No relevent experience,no_enrollment,Graduate,STEM,21,50-99,Pvt Ltd,5,23,1.0
city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,0,50-99,Pvt Ltd,1,107,1.0
city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000-11000,Pvt Ltd,5,134,0.0
city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10-49,Early Stage Startup,1,40,0.0
